Time,Tamb_top,Tamb_mid,Tamb_bot,Tamb_ave,Tout_charge,Tin_charge,Tbot_m,Tmid_m,Ttop_m,flowrate,mass_flowrate_charge,Ttop_s,Tmid_s,Tbot_s
19.01.2021 03:02:31.000 PM,20.31,16.98,14.18,17.16,28.92,29.39,29.54,29.5,29.58,-0.000933333,0,29.3,29.3,29.3
19.01.2021 03:03:31.000 PM,20.31,16.97,14.17,17.15,28.9,29.36,29.54,29.5,29.58,-0.007363788,0,29.3,29.3,29.3
19.01.2021 03:04:31.000 PM,20.33,17,14.16,17.16,28.88,29.35,29.55,29.48,29.58,0.038488983,0.01,29.3,29.3,29.3
19.01.2021 03:05:31.000 PM,20.35,17,14.18,17.18,28.84,27.88,29.55,29.46,29.56,0.763181587,0.21,29.3,29.3,29.3
19.01.2021 03:06:31.000 PM,20.35,16.99,14.17,17.17,29.14,27.98,29.55,29.5,29.55,0.586449754,0.16,29.3,29.3,29.3
19.01.2021 03:07:31.000 PM,20.34,17.01,14.15,17.17,29.25,28.58,29.51,29.5,29.56,0.824884216,0.23,29.3,29.3,29.3
19.01.2021 03:08:31.000 PM,20.34,16.99,14.15,17.16,29.24,28.69,29.48,29.5,29.57,0.911866667,0.26,29.3,29.3,29.3
19.01.2021 03:09:31.000 PM,20.37,17,14.13,17.16,29.23,28.32,29.46,29.51,29.58,0.96727,0.27,29.3,29.3,29.3
19.01.2021 03:10:31.000 PM,20.4,17,14.15,17.18,29.25,28.51,29.45,29.46,29.56,0.989916888,0.28,29.3,29.3,29.3
19.01.2021 03:11:31.000 PM,20.42,17.01,14.16,17.2,29.28,28.37,29.47,29.45,29.55,0.99637619,0.28,29.3,29.3,29.3
19.01.2021 03:12:31.000 PM,20.43,17.01,14.16,17.2,29.27,27.44,29.47,29.46,29.53,1.001317727,0.28,29.3,29.3,29.3
19.01.2021 03:13:31.000 PM,20.45,17,14.16,17.2,29.26,26.02,29.46,29.44,29.52,0.988433333,0.28,29.29,29.3,29.3
19.01.2021 03:14:31.000 PM,20.43,17.01,14.16,17.2,29.25,25.63,29.41,29.42,29.51,0.979918369,0.27,29.29,29.3,29.3
19.01.2021 03:15:31.000 PM,20.46,17.03,14.19,17.23,29.21,26.54,29.36,29.4,29.49,0.963233333,0.27,29.29,29.3,29.3
19.01.2021 03:16:31.000 PM,20.45,17.03,14.22,17.23,29.12,27.5,29.35,29.28,29.46,0.955333333,0.27,29.29,29.3,29.3
19.01.2021 03:17:31.000 PM,20.45,17.04,14.18,17.22,29.11,28.1,29.32,29.22,29.45,0.986966667,0.28,29.29,29.3,29.3
19.01.2021 03:18:31.000 PM,20.46,17.05,14.16,17.23,29.11,28.44,29.31,29.23,29.42,0.991413095,0.28,29.29,29.3,29.3
19.01.2021 03:19:31.000 PM,20.47,17.06,14.21,17.25,29.08,28.73,29.3,29.24,29.4,1.029831161,0.29,29.29,29.3,29.3
19.01.2021 03:20:31.000 PM,20.48,17.07,14.21,17.25,29.07,29.43,29.3,29.23,29.34,0.995597743,0.28,29.3,29.3,29.3
19.01.2021 03:21:31.000 PM,20.5,17.08,14.2,17.26,29.1,33.17,29.3,29.24,29.33,0.945906736,0.26,29.3,29.3,29.3
19.01.2021 03:22:31.000 PM,20.5,17.08,14.2,17.26,29.1,36.09,29.3,29.25,29.34,0.996648138,0.28,29.31,29.3,29.29
19.01.2021 03:23:31.000 PM,20.53,17.08,14.22,17.28,29.09,35.03,29.3,29.27,29.38,1.004234583,0.28,29.31,29.29,29.29
19.01.2021 03:24:31.000 PM,20.54,17.08,14.23,17.28,29.08,35.78,29.29,29.25,29.41,0.996459084,0.28,29.31,29.29,29.29
19.01.2021 03:25:31.000 PM,20.53,17.07,14.23,17.28,29.09,41.32,29.3,29.23,29.35,1.000653421,0.28,29.34,29.3,29.29
19.01.2021 03:26:31.000 PM,20.53,17.09,14.23,17.28,29.09,42.23,29.32,29.24,29.37,1.003472407,0.28,29.35,29.3,29.29
19.01.2021 03:27:31.000 PM,20.55,17.12,14.24,17.3,29.09,41.87,29.31,29.22,29.4,1.001479167,0.28,29.35,29.3,29.29
19.01.2021 03:28:31.000 PM,20.57,17.12,14.25,17.31,29.09,42,29.3,29.25,29.4,1.004233333,0.28,29.36,29.3,29.29
19.01.2021 03:29:31.000 PM,20.58,17.12,14.25,17.32,29.07,41.35,29.31,29.27,29.42,1.019766667,0.29,29.36,29.3,29.29
19.01.2021 03:30:31.000 PM,20.59,17.1,14.26,17.32,29.09,41.01,29.29,29.24,29.44,1.020680152,0.29,29.36,29.3,29.29
19.01.2021 03:31:31.000 PM,20.63,17.14,14.27,17.35,29.09,41.24,29.3,29.24,29.43,1.0064,0.28,29.37,29.3,29.29
19.01.2021 03:32:31.000 PM,20.64,17.16,14.27,17.36,29.09,41.02,29.3,29.25,29.45,0.997951212,0.28,29.37,29.29,29.29
